Prov,Mun,Brgy,Area,Lat,Long,Occurance,Elev,Slope,Aspect,HorizontalCurvature,VerticalCurvature,Lithology,SoilType,PGAComp,Landslide
Cotabato,Tulunan,Daig,89.8299,6.80563,125.051,29/31,423,20.17896461,East,0.005624502,-0.001297309,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
Cotabato,Tulunan,Daig,144.82,6.80547,125.051,29/31,423,20.17896461,East,0.005624502,-0.001297309,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
Cotabato,Tulunan,Daig,230.614,6.80449,125.054,29/31,470,16.13733292,North,0.024531174,0.000505155,Andesite and/or basalt flows,Sandy Clay Loam,0.459495038,1
Cotabato,Tulunan,Daig,183.911,6.80453,125.054,29/31,463,13.73609161,North,0.021197647,0.000657038,Andesite and/or basalt flows,Sandy Clay Loam,0.459495038,1
Cotabato,Tulunan,Bacong,1732.82,6.79644,125.044,29/31,500,22.18348885,South,0.027820529,-0.009784547,Andesite and/or basalt flows,Sandy Clay Loam,0.359150529,1
Cotabato,Tulunan,Bacong,2033.28,6.79722,125.046,29/31,578,16.61360741,North,-0.007519056,-0.001060453,Andesite and/or basalt flows,Sandy Clay Loam,0.359150529,1
Cotabato,Tulunan,Bacong,5417.31,6.79645,125.046,29/31,539,16.98322487,Southeast,-0.052295458,-0.00624756,Andesite and/or basalt flows,Sandy Clay Loam,0.359150529,1
Cotabato,Tulunan,Bacong,251.115,6.79563,125.049,29/31,596,21.28036118,West,-0.002966945,0.021029364,Andesite and/or basalt flows,Sandy Clay Loam,0.357842356,1
Cotabato,Tulunan,Bacong,247.895,6.79629,125.049,29/31,566,32.05939102,Northwest,0.017346485,0.001384119,Andesite and/or basalt flows,Sandy Clay Loam,0.357842356,1
Cotabato,Tulunan,Bacong,125.245,6.79642,125.049,29/31,566,27.14908028,Northeast,-0.012390111,-0.001724911,Andesite and/or basalt flows,Sandy Clay Loam,0.357842356,1
Cotabato,Tulunan,Bacong,215.598,6.79672,125.049,29/31,551,19.3810215,Northeast,-0.00706294,-0.002030839,Andesite and/or basalt flows,Sandy Clay Loam,0.357842356,1
Cotabato,Tulunan,Bacong,985.699,6.79129,125.047,29/31,592,29.54269218,Northwest,0.020802734,0.002520492,Andesite and/or basalt flows,Sandy Clay Loam,0.323694944,1
Cotabato,Tulunan,Bacong,3157.62,6.78845,125.04,29/31,550,12.91889191,East,-0.018346166,-0.016330954,Andesite and/or basalt flows,Sandy Clay Loam,0.31283176,1
Cotabato,Tulunan,Bacong,390.214,6.78632,125.043,29/31,574,24.61276245,Southeast,-0.003886903,-0.000946648,Andesite and/or basalt flows,Sandy Clay Loam,0.276860237,1
Cotabato,Tulunan,Bacong,1435.88,6.78652,125.043,29/31,549,21.06476021,East,0.010064302,-0.014315998,Andesite and/or basalt flows,Sandy Clay Loam,0.276860237,1
Cotabato,Tulunan,Bacong,2069.69,6.78941,125.043,29/31,527,19.13116074,West,0.001118174,7.52E-06,Andesite and/or basalt flows,Sandy Clay Loam,0.323694944,1
Cotabato,Tulunan,Bacong,6299.29,6.79271,125.041,29/31,482,14.46563435,South,0.000292251,0.003114441,Andesite and/or basalt flows,Sandy Clay Loam,0.32280001,1
